date,Wed Apr 26 2017 21:42:37 GMT+0000 (UTC),time,2609
date,Wed Apr 26 2017 21:42:57 GMT+0000 (UTC),time,1986
date,Wed Apr 26 2017 21:43:17 GMT+0000 (UTC),time,2159
date,Wed Apr 26 2017 21:43:37 GMT+0000 (UTC),time,2208
date,Wed Apr 26 2017 21:43:57 GMT+0000 (UTC),time,2474
date,Wed Apr 26 2017 21:44:17 GMT+0000 (UTC),time,1990
date,Wed Apr 26 2017 21:44:37 GMT+0000 (UTC),time,2019
date,Wed Apr 26 2017 21:44:58 GMT+0000 (UTC),time,2128
date,Wed Apr 26 2017 21:45:24 GMT+0000 (UTC),time,2371
date,Wed Apr 26 2017 21:45:41 GMT+0000 (UTC),time,1808
date,Wed Apr 26 2017 21:46:00 GMT+0000 (UTC),time,1936
date,Wed Apr 26 2017 21:46:20 GMT+0000 (UTC),time,1796
date,Wed Apr 26 2017 21:46:37 GMT+0000 (UTC),time,2181
date,Wed Apr 26 2017 21:46:59 GMT+0000 (UTC),time,2037
date,Wed Apr 26 2017 21:47:18 GMT+0000 (UTC),time,2310
date,Wed Apr 26 2017 21:47:38 GMT+0000 (UTC),time,2290
date,Wed Apr 26 2017 21:47:57 GMT+0000 (UTC),time,2274
date,Wed Apr 26 2017 21:48:21 GMT+0000 (UTC),time,2300
date,Wed Apr 26 2017 21:48:38 GMT+0000 (UTC),time,2165
date,Wed Apr 26 2017 21:48:57 GMT+0000 (UTC),time,2079
date,Wed Apr 26 2017 21:49:17 GMT+0000 (UTC),time,2179
date,Wed Apr 26 2017 21:49:40 GMT+0000 (UTC),time,2127
date,Wed Apr 26 2017 21:49:57 GMT+0000 (UTC),time,2021
date,Wed Apr 26 2017 21:50:18 GMT+0000 (UTC),time,2247
date,Wed Apr 26 2017 21:50:42 GMT+0000 (UTC),time,2341
date,Wed Apr 26 2017 21:51:00 GMT+0000 (UTC),time,2767
date,Wed Apr 26 2017 21:51:19 GMT+0000 (UTC),time,2974
date,Wed Apr 26 2017 21:51:38 GMT+0000 (UTC),time,2500
date,Wed Apr 26 2017 21:51:58 GMT+0000 (UTC),time,2429
date,Wed Apr 26 2017 21:52:20 GMT+0000 (UTC),time,2542
