date,Wed Apr 26 2017 22:07:38 GMT+0000 (UTC),time,2310
date,Wed Apr 26 2017 22:07:58 GMT+0000 (UTC),time,2078
date,Wed Apr 26 2017 22:08:20 GMT+0000 (UTC),time,2259
date,Wed Apr 26 2017 22:08:40 GMT+0000 (UTC),time,2084
date,Wed Apr 26 2017 22:08:57 GMT+0000 (UTC),time,2047
date,Wed Apr 26 2017 22:09:18 GMT+0000 (UTC),time,2037
date,Wed Apr 26 2017 22:09:39 GMT+0000 (UTC),time,3786
date,Wed Apr 26 2017 22:10:04 GMT+0000 (UTC),time,3159
date,Wed Apr 26 2017 22:10:20 GMT+0000 (UTC),time,2526
date,Wed Apr 26 2017 22:10:38 GMT+0000 (UTC),time,2122
date,Wed Apr 26 2017 22:10:58 GMT+0000 (UTC),time,2354
date,Wed Apr 26 2017 22:11:19 GMT+0000 (UTC),time,2560
date,Wed Apr 26 2017 22:11:41 GMT+0000 (UTC),time,2226
date,Wed Apr 26 2017 22:11:59 GMT+0000 (UTC),time,2301
date,Wed Apr 26 2017 22:12:17 GMT+0000 (UTC),time,2018
date,Wed Apr 26 2017 22:12:46 GMT+0000 (UTC),time,2292
date,Wed Apr 26 2017 22:12:59 GMT+0000 (UTC),time,2550
date,Wed Apr 26 2017 22:13:19 GMT+0000 (UTC),time,2443
date,Wed Apr 26 2017 22:13:39 GMT+0000 (UTC),time,2158
date,Wed Apr 26 2017 22:13:59 GMT+0000 (UTC),time,2290
date,Wed Apr 26 2017 22:14:22 GMT+0000 (UTC),time,1857
date,Wed Apr 26 2017 22:14:43 GMT+0000 (UTC),time,2018
date,Wed Apr 26 2017 22:14:58 GMT+0000 (UTC),time,2139
date,Wed Apr 26 2017 22:15:18 GMT+0000 (UTC),time,2298
date,Wed Apr 26 2017 22:15:39 GMT+0000 (UTC),time,2076
date,Wed Apr 26 2017 22:15:58 GMT+0000 (UTC),time,2244
date,Wed Apr 26 2017 22:16:18 GMT+0000 (UTC),time,2227
date,Wed Apr 26 2017 22:16:38 GMT+0000 (UTC),time,2408
date,Wed Apr 26 2017 22:16:58 GMT+0000 (UTC),time,2127
date,Wed Apr 26 2017 22:17:20 GMT+0000 (UTC),time,2232
date,Wed Apr 26 2017 22:17:38 GMT+0000 (UTC),time,2166
date,Wed Apr 26 2017 22:17:58 GMT+0000 (UTC),time,2117
date,Wed Apr 26 2017 22:18:19 GMT+0000 (UTC),time,2465
date,Wed Apr 26 2017 22:18:37 GMT+0000 (UTC),time,2054
date,Wed Apr 26 2017 22:18:59 GMT+0000 (UTC),time,3018
date,Wed Apr 26 2017 22:19:18 GMT+0000 (UTC),time,2225
date,Wed Apr 26 2017 22:19:44 GMT+0000 (UTC),time,2469
date,Wed Apr 26 2017 22:19:58 GMT+0000 (UTC),time,2135
date,Wed Apr 26 2017 22:20:19 GMT+0000 (UTC),time,3398
date,Wed Apr 26 2017 22:20:41 GMT+0000 (UTC),time,2519
